material,codec,texture,mse,psnr_db,ssim
material_00,ntc,diffuse,2.0120620051832307e-05,46.96358639871579,0.9938915409374015
material_00,ntc,normal,2.7495872112265685e-05,45.6073250083979,0.9951424709650359
material_00,ntc,roughness,0.00011176714085184306,39.51685858741764,0.9914961162869719
material_00,ntc,metallic,1.4666273421067476e-11,108.33680222780067,0.9999999812134974
material_00,bc,diffuse,0.00017673403546091185,37.52679805957477,0.9489628358495056
material_00,bc,normal,0.0009657867942753905,30.151187372381546,0.9173937206171644
material_00,bc,roughness,0.001896419649034834,27.22065553551776,0.8502324347886284
material_00,bc,metallic,0.0,inf,1.0
material_00,astc,diffuse,0.00015473569159564398,38.104094996477784,0.9423027315059965
material_00,astc,normal,0.0010048649058124921,29.978923209338816,0.8753086992346994
material_00,astc,roughness,0.0009234425558613133,30.345901153275697,0.9059983967881636
material_00,astc,metallic,1.4510678926343378e-05,48.383122672957846,0.880439341013168
material_01,ntc,diffuse,4.289255425905478e-05,43.67618090679027,0.9922229371862085
material_01,ntc,normal,1.355712557991156e-05,48.678323810524745,0.9957499316363517
material_01,ntc,roughness,7.827534928840821e-06,51.06374985752697,0.996309201749912
material_01,ntc,metallic,1.4666273421067476e-11,108.33680222780067,0.9999999811613883
material_01,bc,diffuse,0.0013533894967352079,28.68577198273446,0.7911067300871802
material_01,bc,normal,0.00031731737500823064,34.98506147049908,0.9643767262186684
material_01,bc,roughness,3.4750840523078985e-05,44.59034686609968,0.9890530043071795
material_01,bc,metallic,1.0266391394747233e-10,99.8858218276581,0.9999998400985272
material_01,astc,diffuse,0.0005082343916618998,32.93935950061682,0.9010651842015683
material_01,astc,normal,0.00012124013979293847,39.163535715516375,0.9663406383855598
material_01,astc,roughness,3.42289767640755e-05,44.65606083402521,0.9827171001297932
material_01,astc,metallic,1.4326177206706345e-05,48.438696811671534,0.8798887105315103
material_03,ntc,diffuse,2.227100321951801e-05,46.52260219297908,0.9961503700729765
material_03,ntc,normal,2.434053105850075e-05,46.1366995062278,0.9943161299164166
material_03,ntc,roughness,1.9487413650055477e-05,47.10245796184757,0.9961041479048514
material_03,ntc,metallic,2.141275919475852e-09,86.6932736699563,0.9999972217386824
material_03,bc,diffuse,0.0006208270202790563,32.07029389522542,0.9229729862907607
